StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q2,Q3,Q4
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,NASA Task Load Index - How mentally demanding was the task?,NASA Task Load Index - How physically demanding was the task?,NASA Task Load Index - How hurried or rushed was the pace of the task?,NASA Task Load Index - How successful were you in accomplishing what you were asked to do?,NASA Task Load Index - How hard did you have to work to accomplish your level of performance?,"NASA Task Load Index - How insecure, discouraged, irritated, stressed, and annoyed wereyou?",Participant ID,Date,Personalized vs. Personified
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID1_3""}","{""ImportId"":""QID1_4""}","{""ImportId"":""QID1_5""}","{""ImportId"":""QID1_6""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4""}"
2026-04-08 08:35:56,2026-04-08 08:39:32,IP Address,128.61.176.248,100,216,TRUE,2026-04-08 08:39:33,R_7NlVDCrIvQHOJFc,,,,,34.2926,-84.1789,anonymous,EN,5,1,3,15,4,14,5,04/08/2026,Personalized
2026-04-08 08:39:53,2026-04-08 09:30:36,IP Address,128.61.176.248,100,3042,TRUE,2026-04-08 09:30:36,R_72rmAbCQIL4CeYe,,,,,34.2926,-84.1789,anonymous,EN,5,1,3,15,3,17,5,04/08/2026,Personified
2026-04-10 15:19:22,2026-04-10 15:24:14,IP Address,128.61.176.248,100,292,TRUE,2026-04-10 15:24:15,R_7IEtY1RmHGAvH8K,,,,,34.2926,-84.1789,anonymous,EN,17,11,11,16,6,11,7,04/10/2026,Personalized
2026-04-10 15:24:27,2026-04-10 15:48:12,IP Address,128.61.176.248,100,1425,TRUE,2026-04-10 15:48:12,R_3pontpHTf5QIJTJ,,,,,34.2926,-84.1789,anonymous,EN,18,15,14,11,11,11,7,04/10/2026,Personified
2026-04-10 15:49:14,2026-04-10 16:27:54,IP Address,128.61.176.248,100,2319,TRUE,2026-04-10 16:27:54,R_7f7YfTMzBYOH3mG,,,,,34.2926,-84.1789,anonymous,EN,14,6,10,16,12,5,8,04/10/2026,Personified
2026-04-10 17:21:26,2026-04-10 17:25:32,IP Address,128.61.176.248,100,246,TRUE,2026-04-10 17:25:32,R_7S9q0vr1c1hXjUT,,,,,34.2926,-84.1789,anonymous,EN,2,2,11,20,2,1,8,04/10/2026,Personalized
2026-04-11 11:52:00,2026-04-11 11:53:06,IP Address,128.61.176.248,100,65,TRUE,2026-04-11 11:53:06,R_1iVyPHMrN70fKmD,,,,,34.2926,-84.1789,anonymous,EN,1,1,1,21,1,1,16,04/11/2026,Personified
2026-04-11 11:55:12,2026-04-11 12:28:25,IP Address,128.61.176.248,100,1993,TRUE,2026-04-11 12:28:25,R_6YLSbaCLDk79l5v,,,,,34.2926,-84.1789,anonymous,EN,1,1,1,21,1,1,16,04/11/2026,Personalized
2026-04-12 08:32:40,2026-04-12 08:34:51,IP Address,128.61.176.248,100,130,TRUE,2026-04-12 08:34:51,R_1Euc2bdI89AJse5,,,,,34.2926,-84.1789,anonymous,EN,9,2,14,8,5,2,19,04/12/2026,Personalized
2026-04-12 08:58:52,2026-04-12 09:00:02,IP Address,128.61.176.248,100,69,TRUE,2026-04-12 09:00:02,R_7dgoeLCa9AC1dnf,,,,,34.2926,-84.1789,anonymous,EN,7,2,13,10,5,3,19,04/12/2026,Personified
2026-04-12 11:33:19,2026-04-12 11:57:01,IP Address,128.61.176.248,100,1421,TRUE,2026-04-12 11:57:02,R_59diSj6n7hxUCKZ,,,,,34.2926,-84.1789,anonymous,EN,3,5,3,20,3,1,11,04/12/2026,Personalized
2026-04-12 12:22:59,2026-04-12 12:24:52,IP Address,128.61.176.248,100,113,TRUE,2026-04-12 12:24:52,R_5yYiNrwx6gZjxQZ,,,,,34.2926,-84.1789,anonymous,EN,3,2,3,20,2,2,11,04/12/2026,Personified
2026-04-13 15:36:01,2026-04-13 15:37:22,IP Address,128.61.176.248,100,81,TRUE,2026-04-13 15:37:23,R_6s0idlbJkfPhRzt,,,,,34.2926,-84.1789,anonymous,EN,11,2,6,20,11,13,3,04/13/2026,Personalized
2026-04-13 16:02:08,2026-04-13 16:03:33,IP Address,128.61.176.248,100,85,TRUE,2026-04-13 16:03:34,R_606IxPjwjTouxIn,,,,,34.2926,-84.1789,anonymous,EN,14,3,16,19,9,14,3,04/13/2026,Personified
2026-04-14 08:34:28,2026-04-14 08:35:41,IP Address,128.61.176.248,100,73,TRUE,2026-04-14 08:35:42,R_5l0K9NHkajdYOAQ,,,,,34.2926,-84.1789,anonymous,EN,1,1,3,21,1,1,20,04/14/2026,Personified
2026-04-14 09:05:37,2026-04-14 09:08:59,IP Address,128.61.176.248,100,202,TRUE,2026-04-14 09:09:00,R_5CT1SlGgVMKSlE6,,,,,34.2926,-84.1789,anonymous,EN,1,1,4,21,1,1,20,04/14/2026,Personalized
2026-04-15 15:24:30,2026-04-15 15:26:33,IP Address,128.61.176.248,100,123,TRUE,2026-04-15 15:26:33,R_32mYBUKvRxhnjGH,,,,,34.2926,-84.1789,anonymous,EN,15,11,16,20,2,11,22,04/15/2026,Personified
2026-04-15 15:58:10,2026-04-15 16:00:17,IP Address,128.61.176.248,100,126,TRUE,2026-04-15 16:00:17,R_75vmj0XE648ErRf,,,,,34.2926,-84.1789,anonymous,EN,12,6,14,19,7,4,22,04/15/2026,Personalized
2026-04-15 17:31:07,2026-04-15 17:32:07,IP Address,128.61.176.248,100,59,TRUE,2026-04-15 17:32:07,R_3mVcsfqsL6L64fv,,,,,34.2926,-84.1789,anonymous,EN,5,6,2,15,8,4,9,04/15/2026,Personalized
2026-04-15 17:34:36,2026-04-15 17:52:31,IP Address,128.61.176.248,100,1075,TRUE,2026-04-15 17:52:32,R_6XiLNTDKQrsWao9,,,,,34.2926,-84.1789,anonymous,EN,7,6,6,16,8,4,9,04/15/2026,Personified
2026-04-16 12:56:16,2026-04-16 12:58:20,IP Address,128.61.176.248,100,124,TRUE,2026-04-16 12:58:21,R_31ZqBL1Oxxeuxp1,,,,,34.2926,-84.1789,anonymous,EN,8,1,11,21,3,4,4,04/16/2026,Personified
2026-04-16 13:24:57,2026-04-16 13:26:16,IP Address,128.61.176.248,100,78,TRUE,2026-04-16 13:26:16,R_5gXzZqhcsPdxXwA,,,,,34.2926,-84.1789,anonymous,EN,3,1,11,21,1,1,4,04/16/2026,Personalized
2026-04-16 14:48:38,2026-04-16 15:28:07,IP Address,128.61.176.248,100,2369,TRUE,2026-04-16 15:28:08,R_6qt7N6726sjRtvB,,,,,34.2926,-84.1789,anonymous,EN,2,1,3,19,1,1,24,04/16/2026,Personified
2026-04-16 15:30:27,2026-04-16 15:53:27,IP Address,128.61.176.248,100,1380,TRUE,2026-04-16 15:53:28,R_1MxNY6PmEgsluxt,,,,,34.2926,-84.1789,anonymous,EN,1,1,2,19,1,1,24,04/16/2026,Personalized